"cik","company","ticker","market_cap_usd_billion","gics_sector","gics_sub_industry","headquarters","founded"
"1037646","Mettler Toledo","MTD","29.810108416","Health Care","Life Sciences Tools & Services","Columbus, Ohio","1945"
"878927","Old Dominion","ODFL","29.730387968","Industrials","Cargo Ground Transportation","Thomasville, North Carolina","1934"
"1637459","Kraft Heinz","KHC","29.544042496","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois;Pittsburgh, Pennsylvania","2015 (1869)"
"1754301","Fox Corporation(Class A)","FOXA","29.41120512","Communication Services","Broadcasting","New York City, New York","2019"
"1289490","Extra Space Storage","EXR","29.366626304","Real Estate","Self-Storage REITs","Salt Lake City, Utah","1977"
"1601712","Synchrony Financial","SYF","29.347897344","Financials","Consumer Finance","Stamford, Connecticut","2003"
"84839","Rollins, Inc.","ROL","29.302069248","Industrials","Environmental & Facilities Services","Atlanta, Georgia","1948"
"49071","Humana","HUM","29.101273088","Health Care","Managed Health Care","Louisville, Kentucky","1961"
"7084","Archer Daniels Midland","ADM","28.983160832","Consumer Staples","Agricultural Products & Services","Chicago, Illinois","1902"
"55067","Kellanova","K","28.923639808","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois","1906"
"1645590","Hewlett Packard Enterprise","HPE","28.92234752","Information Technology","Technology Hardware, Storage & Peripherals","Houston, Texas","2015"
"35527","Fifth Third Bancorp","FITB","28.90748928","Financials","Regional Banks","Cincinnati, Ohio","1858"
"1057352","CoStar Group","CSGP","28.904712192","Real Estate","Real Estate Services","Washington, D.C.","1987"
"1274494","First Solar","FSLR","28.174825472","Information Technology","Semiconductors","Tempe, Arizona","1999"
"916365","Tractor Supply","TSCO","28.121638912","Consumer Discretionary","Other Specialty Retail","Brentwood, Tennessee","1938"
"895126","Expand Energy","EXE","28.037337088","Energy","Oil & Gas Exploration & Production","Oklahoma City, Oklahoma","1989"
"1754301","Fox Corporation(Class B)","FOX","27.887448064","Communication Services","Broadcasting","New York City, New York","2019"
"11544","W. R. Berkley Corporation","WRB","27.665543168","Financials","Property & Casualty Insurance","Greenwich, Connecticut","1967"
"731802","Atmos Energy","ATO","27.500804096","Utilities","Gas Utilities","Dallas, Texas","1906"
"1002910","Ameren","AEE","27.457939456","Utilities","Multi-Utilities","St. Louis, Missouri","1902"
"936340","DTE Energy","DTE","27.320700928","Utilities","Multi-Utilities","Detroit, Michigan","1995"
"79282","Brown & Brown","BRO","27.259035648","Financials","Insurance Brokers","Daytona Beach, Florida","1939"
"105634","Emcor","EME","27.144677376","Industrials","Construction & Engineering","Norwalk, Connecticut","1994"
"1091667","Charter Communications","CHTR","27.0067712","Communication Services","Cable & Satellite","Stamford, Connecticut","1993"
"1374310","Cboe Global Markets","CBOE","26.616332288","Financials","Financial Exchanges & Data","Chicago, Illinois","1973"
"1383312","Broadridge Financial Solutions","BR","26.568359936","Industrials","Data Processing & Outsourced Services","Lake Success, New York","1962"
"875045","Biogen","BIIB","26.432815104","Health Care","Biotechnology","Cambridge, Massachusetts","1978"
"1031296","FirstEnergy","FE","26.376208384","Utilities","Electric Utilities","Akron, Ohio","1997"
"922224","PPL Corporation","PPL","26.053615616","Utilities","Electric Utilities","Allentown, Pennsylvania","1920"
"49196","Huntington Bancshares","HBAN","25.955989504","Financials","Regional Banks","Columbus, Ohio;Detroit, Michigan","1866"
"915912","AvalonBay Communities","AVB","25.788411904","Real Estate","Multi-Family Residential REITs","Arlington, Virginia","1978"
"29905","Dover Corporation","DOV","25.713483776","Industrials","Industrial Machinery & Supplies & Components","Downers Grove, Illinois","1955"
"33185","Equifax","EFX","25.707595776","Industrials","Research & Consulting Services","Atlanta, Georgia","1899"
"20286","Cincinnati Financial","CINF","25.609766912","Financials","Property & Casualty Insurance","Fairfield, Ohio","1950"
"1757898","Steris","STE","25.538613248","Health Care","Health Care Equipment","Dublin, Ireland","1985"
"1410636","American Water Works","AWK","25.51240704","Utilities","Water Utilities","Camden, New Jersey","1886"
"1967680","Veralto","VLTO","25.276669952","Industrials","Environmental & Facilities Services","Waltham, Massachusetts","2023"
"1093557","Dexcom","DXCM","25.274404864","Health Care","Health Care Equipment","San Diego, California","1999"
"1130310","CenterPoint Energy","CNP","25.037498368","Utilities","Multi-Utilities","Houston, Texas","1882"
"822416","PulteGroup","PHM","24.96800768","Consumer Discretionary","Homebuilding","Atlanta, Georgia","1956"
"72741","Eversource Energy","ES","24.878792704","Utilities","Electric Utilities","Hartford, Connecticut","1966"
"73124","Northern Trust","NTRS","24.86786048","Financials","Asset Management & Custody Banks","Chicago, Illinois","1889"
"1022671","Steel Dynamics","STLD","24.675905536","Materials","Steel","Fort Wayne, Indiana","1993"
"1403568","Ulta Beauty","ULTA","24.632440832","Consumer Discretionary","Other Specialty Retail","Bolingbrook, Illinois","1990"
"40704","General Mills","GIS","24.55812096","Consumer Staples","Packaged Foods & Meats","Golden Valley, Minnesota","1856"
"1020569","Iron Mountain","IRM","24.465942528","Real Estate","Other Specialized REITs","Portsmouth, New Hampshire","1951"
"906107","Equity Residential","EQR","24.392966144","Real Estate","Multi-Family Residential REITs","Chicago, Illinois","1969"
"29534","Dollar General","DG","24.2182656","Consumer Staples","Consumer Staples Merchandise Retail","Goodlettsville, Tennessee","1939"
"1336920","Leidos","LDOS","24.00058368","Industrials","Diversified Support Services","Reston, Virginia","1969"
"16918","Constellation Brands","STZ","23.99683584","Consumer Staples","Distillers & Vintners","Rochester, New York","1945"
"1000697","Waters Corporation","WAT","23.731738624","Health Care","Life Sciences Tools & Services","Milford, Massachusetts","1958"
"1014473","Verisign","VRSN","23.694956544","Information Technology","Internet Services & Infrastructure","Reston, Virginia","1995"
"1090012","Devon Energy","DVN","23.652646912","Energy","Oil & Gas Exploration & Production","Oklahoma City, Oklahoma","1971"
"47217","HP Inc.","HPQ","23.622713344","Information Technology","Technology Hardware, Storage & Peripherals","Palo Alto, California","1939 (2015)"
"759944","Citizens Financial Group","CFG","23.577536512","Financials","Regional Banks","Providence, Rhode Island","1828"
"1094285","Teledyne Technologies","TDY","23.274543104","Information Technology","Electronic Equipment & Instruments","Thousand Oaks, California","1960"
"1002047","NetApp","NTAP","23.12179712","Information Technology","Technology Hardware, Storage & Peripherals","San Jose, California","1992"
"29989","Omnicom Group","OMC","22.997571584","Communication Services","Advertising","New York City, New York","1986"
"45012","Halliburton","HAL","22.943522816","Energy","Oil & Gas Equipment & Services","Houston, Texas","1919"
"898293","Jabil","JBL","22.756960256","Information Technology","Electronic Manufacturing Services","St. Petersburg, Florida","1966"
"935703","Dollar Tree","DLTR","22.745757696","Consumer Staples","Consumer Staples Merchandise Retail","Chesapeake, Virginia","1986"
"48898","Hubbell Incorporated","HUBB","22.718318592","Industrials","Industrial Machinery & Supplies & Components","Shelton, Connecticut","1888"
"1281761","Regions Financial Corporation","RF","22.673555456","Financials","Regional Banks","Birmingham, Alabama","1971"
"79879","PPG Industries","PPG","22.626424832","Materials","Specialty Chemicals","Pittsburgh, Pennsylvania","1883"
"1116132","Tapestry, Inc.","TPR","22.617421824","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York City, New York","2017"
"1113169","T. Rowe Price","TROW","22.514221056","Financials","Asset Management & Custody Banks","Baltimore, Maryland","1937"
"811156","CMS Energy","CMS","22.105788416","Utilities","Multi-Utilities","Jackson, Michigan","1886"
"920148","Labcorp","LH","22.098782208","Health Care","Health Care Services","Burlington, North Carolina","1978"
"60086","Loews Corporation","L","22.051500032","Financials","Multi-line Insurance","New York City, New York","1959"
"827052","Edison International","EIX","21.98673408","Utilities","Electric Utilities","Rosemead, California","1886"
"1397187","Lululemon Athletica","LULU","21.86073088","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Vancouver, Canada","1998"
"1145197","Insulet Corporation","PODD","21.751293952","Health Care","Health Care Equipment","Acton, Massachusetts","2000"
"1037038","Ralph Lauren Corporation","RL","21.58140416","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York City, New York","1967"
"719955","Williams-Sonoma, Inc.","WSM","21.25692928","Consumer Discretionary","Homefurnishing Retail","San Francisco, California","1956"
"857005","PTC Inc.","PTC","21.141016576","Information Technology","Application Software","Boston, Massachusetts","1985"
"1097864","ON Semiconductor","ON","21.053980672","Information Technology","Semiconductors","Phoenix, Arizona","1999"
"906163","NVR, Inc.","NVR","21.00262912","Consumer Discretionary","Homebuilding","Reston, Virginia","1980"
"1175454","Corpay","CPAY","20.827713536","Financials","Transaction & Payment Processing Services","Atlanta, Georgia","2000"
"1022079","Quest Diagnostics","DGX","20.41336832","Health Care","Health Care Services","Secaucus, New Jersey","1967"
"940944","Darden Restaurants","DRI","20.362133504","Consumer Discretionary","Restaurants","Orlando, Florida","1938"
"313927","Church & Dwight","CHD","20.351072256","Consumer Staples","Household Products","Ewing, New Jersey","1847"
"100493","Tyson Foods","TSN","20.2441216","Consumer Staples","Packaged Foods & Meats","Springdale, Arkansas","1935"
"858470","Coterra","CTRA","20.139264","Energy","Oil & Gas Exploration & Production","Houston, Texas","2021 (1989)"
"91576","KeyCorp","KEY","20.044310528","Financials","Regional Banks","Cleveland, Ohio","1825"
"1111711","NiSource","NI","19.998806016","Utilities","Multi-Utilities","Merrillville, Indiana","1912"
"51434","International Paper","IP","19.986249728","Materials","Paper & Plastic Packaging Products & Materials","Memphis, Tennessee","1898"
"860731","Tyler Technologies","TYL","19.966623744","Information Technology","Application Software","Plano, Texas","1966"
"1034054","SBA Communications","SBAC","19.924084736","Real Estate","Telecom Tower REITs","Boca Raton, Florida","1989"
"879169","Incyte","INCY","19.914975232","Health Care","Biotechnology","Wilmington, Delaware","1991"
"746515","Expeditors International","EXPD","19.88004864","Industrials","Air Freight & Logistics","Seattle, Washington","1979"
"1811074","Texas Pacific Land Corporation","TPL","19.869607936","Energy","Oil & Gas Exploration & Production","Dallas, Texas","1888"
"1375365","Supermicro","SMCI","19.652288512","Information Technology","Technology Hardware, Storage & Peripherals","San Jose, California","1993"
"105770","West Pharmaceutical Services","WST","19.642707968","Health Care","Health Care Supplies","Exton, Pennsylvania","1923"
"864749","Trimble Inc.","TRMB","19.56819968","Information Technology","Electronic Equipment & Instruments","Westminster, Colorado","1978"
"1671933","Trade Desk (The)","TTD","19.533268992","Communication Services","Advertising","Ventura, California","2009"
"1748790","Amcor","AMCR","19.390222336","Materials","Paper & Plastic Packaging Products & Materials","Warmley,Bristol, United Kingdom","2019 (1860)"
"1996862","Bunge Global","BG","19.215958016","Consumer Staples","Agricultural Products & Services","Chesterfield, Missouri","1818"
"1123360","Global Payments","GPN","19.090753536","Financials","Transaction & Payment Processing Services","Atlanta, Georgia","2000"
"1071739","Centene Corporation","CNC","19.075815424","Health Care","Managed Health Care","St. Louis, Missouri","1984"
"1402057","CDW Corporation","CDW","18.893717504","Information Technology","Technology Distributors","Vernon Hills, Illinois","1984"
"1043277","C.H. Robinson","CHRW","18.858237952","Industrials","Air Freight & Logistics","Eden Prairie, Minnesota","1905"
"1126328","Principal Financial Group","PFG","18.78383616","Financials","Life & Health Insurance","Des Moines, Iowa","1879"
"1136869","Zimmer Biomet","ZBH","18.656811008","Health Care","Health Care Equipment","Warsaw, Indiana","1927"
"92380","Southwest Airlines","LUV","18.60740096","Industrials","Passenger Airlines","Dallas, Texas","1967"
"920522","Essex Property Trust","ESS","18.008223744","Real Estate","Multi-Family Residential REITs","San Mateo, California","1971"
"2005951","Smurfit Westrock","SW","17.989318656","Materials","Paper & Plastic Packaging Products & Materials","Dublin, Ireland","1934"
"1659166","Fortive","FTV","17.979193344","Industrials","Industrial Machinery & Supplies & Components","Everett, Washington","2016"
"728535","J.B. Hunt","JBHT","17.978529792","Industrials","Cargo Ground Transportation","Lowell, Arkansas","1961"
"40987","Genuine Parts Company","GPC","17.93829888","Consumer Discretionary","Distributors","Atlanta, Georgia","1925"
"91440","Snap-on","SNA","17.765799936","Industrials","Industrial Machinery & Supplies & Components","Kenosha, Wisconsin","1920"
"1609711","GoDaddy","GDDY","17.76439296","Information Technology","Internet Services & Infrastructure","Tempe, Arizona","1997"
"51253","International Flavors & Fragrances","IFF","17.565917184","Materials","Specialty Chemicals","New York City, New York","1958 (1889)"
"63754","McCormick & Company","MKC","17.562503168","Consumer Staples","Packaged Foods & Meats","Hunt Valley, Maryland","1889"
"2041610","Paramount Skydance Corporation","PSKY","17.45210368","Communication Services","Movies & Entertainment","Los Angeles, California","2025 (Paramount Pictures1912)"
"75677","Packaging Corporation of America","PKG","17.3254144","Materials","Paper & Plastic Packaging Products & Materials","Lake Forest, Illinois","1959"
"749251","Gartner","IT","17.314715648","Information Technology","IT Consulting & Other Services","Stamford, Connecticut","1979"
"77360","Pentair","PNR","17.239011328","Industrials","Industrial Machinery & Supplies & Components","Worsley, United Kingdom","1966"
