"company","ticker","fair_value","price","mkt_cap","shares","CEO"
"Copart","CPRT","14.45","5.1","4.569639086","896007664","Jeff Liaw"
"Corning Inc.","GLW","16.1","16.12","19.06970974","1182984475","Wendell P. Weeks"
"CoStar Group","CSGP","3.87","18.82","6.1181938","325090000","Andy Florance"
"Costco","COST","98.82","133.07","58.42239477","439035055","Ron Vachris"
"Crown Castle","CCI","5.71","58.43","19.72361432","337559718","Christian Hillabrant"
"CSX Corporation","CSX","52.25","7.46","21.3923053","2867601246","Steve Angel"
"Cummins","CMI","31.78","84.7","14.76497151","174320797","Jennifer Rumsey"
"CVS Health","CVS","100.32","77.31","83.57211","1081000000","David Joyner"
"Danaher Corporation","DHR","74.57","61.13","42.00575587","687154521","Rainer M. Blair"
"Darden Restaurants","DRI","13.86","50.1","6.348958021","126725709","Rick Cardenas"
"DaVita","DVA","12.14","73.38","15.1451019","206392776","Javier J. Rodriguez"
"Deckers Brands","DECK","10.39","9.98","1.9173576","192120000","Stefano Caroti"
"Deere & Company","DE","86.74","65.96","20.79888805","315325774","John C. May"
"Delta Air Lines","DAL","13.15","43.18","33.31688658","771581440","Ed Bastian"
"Devon Energy","DVN","24.75","19.42","10.17608","524000000","Clay Gaspar"
"Dexcom","DXCM","11.48","16.98","5.664528","333600000","Jake Leach"
"Diamondback Energy","FANG","43.71","59.64","4.276053333","71697742","Kaes Van't Hof"
"Digital Realty","DLR","0.11","1.19","0.07887868114","66284606","Andrew P. Power (also known as Andy Power)"
"Dollar General","DG","34.7","75.53","21.65399782","286694000","Todd Vasos"
"Dollar Tree","DLTR","5.76","82.46","16.96695839","205759864","Michael C. Creedon Jr."
"Dominion Energy","D","21.45","49.83","29.74851","597000000","Robert M. Blue"
"Domino's","DPZ","9.94","118.86","5.956174324","50110839","Russell Weiner"
"Dover Corporation","DOV","18.3","44.11","8.462392916","191847493","Richard J. Tobin"
"D. R. Horton","DHI","74.37","27.12","33.43177811","1232735181","Paul J. Romanowski"
"DTE Energy","DTE","11.05","56.43","11.89750934","210836600","Joi Harris"
"Duke Energy","DUK","45.31","54.08","37.26112","689000000","Harry Sideris"
"DuPont","DD","24.91","46.05","28.36451841","615950454","Lori Koch"
"Eastman Chemical Company","EMN","10.81","53.36","7.888562844","147836635","Mark J. Costa"
"Eaton Corporation","ETN","38.84","49.39","22.62062","458000000","Paulo Ruiz"
"eBay Inc.","EBAY","27.01","21.24","24.27732","1143000000","Jamie Iannone"
"Ecolab","ECL","15.45","100.57","29.76872","296000000","Christophe Beck"
"Edison International","EIX","15.33","48.6","15.83442461","325811206","Pedro J. Pizarro"
"Edwards Lifesciences","EW","28.42","29.4","18.68958","635700000","Bernard J. Zovighian"
"Electronic Arts","EA","18.84","64.27","19.34527","301000000","Andrew Wilson"
"Elevance Health","ELV","99.6","122.29","32.14281562","262840916","Gail K. Boudreaux"
"Emcor","EME","9.55","46.68","2.832592581","60681075","Anthony J. Guzzi"
"Emerson Electric","EMR","62.99","42.34","27.23567675","643261142","Lal Karsanbhai"
"EOG Resources","EOG","43.74","53.58","29.46275204","549883390","Ezra Y. Yacob"
"EPAM Systems","EPAM","5.52","74.67","3.774092852","50543630","Balazs Fejes"
"EQT Corporation","EQT","6.8","33.71","9.94482681","295011178","Toby Z. Rice"
"Equifax","EFX","8.07","104.29","12.41051","119000000","Mark W. Begor"
"Equinix","EQIX","12.29","274.18","19.03575149","69427936","Adaire Fox-Martin"
"Equity Residential","EQR","13.91","51.1","18.67684657","365496019","Mark J. Parrell"
"Erie Indemnity","ERIE","6.64","74.87","3.458365841","46191610","Timothy G. NeCastro"
"Essex Property Trust","ESS","7.82","171.75","11.23704019","65426726","Angela L. Kleiman"
"Estée Lauder Companies (The)","EL","18.56","83.3","12.21667279","146658737","Stéphane de La Faverie"
"Everest Group","EG","21.58","158.05","6.701267211","42399666","Jim Williamson (James Allan Williamson)"
"Eversource Energy","ES","8.26","42.18","13.37979278","317207036","Joseph R. Nolan Jr."
"Exelon","EXC","17.78","17.99","22.3798151","1244014180","Calvin Butler"
"Expedia Group","EXPE","4.86","102.65","1.31392","12800000","Ariane Gorin"
"Expeditors International","EXPD","14.35","43.04","7.81442848","181562000","Daniel R. Wall"
"Extra Space Storage","EXR","18.44","65.71","8.22224788","125129324","Joseph D. Margolis"
"ExxonMobil","XOM","280.58","54.4","225.5756575","4146611352","Darren Woods"
"F5, Inc.","FFIV","7.56","105.85","7.08993885","66981000","François Locoh-Donou"
"FactSet","FDS","8.16","137.02","5.601385684","40880059","Sanoke Viswanathan"
"Fair Isaac","FICO","7.89","106.02","3.30347718","31159000","William J. Lansing"
"Fastenal","FAST","17.89","9.47","10.94249216","1155490196","Daniel L. Florness"
"Federal Realty Investment Trust","FRT","3.83","108.71","7.703328553","70861269","Donald C. Wood"
"FedEx","FDX","55.1","140.31","37.66253805","268423762","Raj Subramaniam (Rajesh Subramaniam)"
"Fidelity National Information Services","FIS","2.15","53.78","15.17422265","282153638","Stephanie Ferris"
"Fifth Third Bancorp","FITB","36.11","11.97","9.222535093","770470768","Timothy N. Spence"
"First Solar","FSLR","5.22","68.47","6.998935409","102219007","Mark Widmar"
"FirstEnergy","FE","13.17","23.97","10.18035697","424712431","Brian X. Tierney"
"Fiserv","FI","71.77","51.29","22.86890834","445874602","Mike Lyons"
"Ford Motor Company","F","31.94","8.48","33.65712","3969000000","Jim Farley"
"Fortinet","FTNT","28.64","6.13","5.2591722","857940000","Ken Xie"
"Franklin Resources","BEN","17.55","24.56","14.39545674","586134232","Jennifer M. Johnson"
"Freeport-McMoRan","FCX","25.17","9.44","11.81746211","1251849800","Kathleen L. Quirk"
"Garmin","GRMN","20.71","30.84","5.83471212","189193000","Clifton Pemble"
"Gartner","IT","13.52","89.35","13.95954498","156234415","Eugene A. Hall"
"GE Aerospace","GE","45.37","135.93","250.7888906","1844985585","H. Lawrence Culp, Jr."
"Gen Digital","GEN","21.85","9.05","5.902613824","652222522","Vincent Pilette"
"Generac","GNRC","5.07","37.24","2.471505181","66366949","Aaron Jagdfeld"
"General Dynamics","GD","53.68","106.09","33.20482022","312987277","Phebe N. Novakovic"
"General Mills","GIS","41.19","44.9","26.68862906","594401538","Jeff Harmening"
"General Motors","GM","112.6","25.65","38.475","1500000000","Mary Barra"
"Genuine Parts Company","GPC","13.19","75.66","11.32048405","149623104","Will Stengel (William P. Stengel, II)"
